id,tokens
24479855,19165
24482228,13194
24486610,14205
24497638,27745
24500203,24882
24502590,14732
24509923,17139
24521460,11477
24530526,9567
24531271,13802
24556140,16955
24558034,15918
24561191,10363
24562332,230313
24564903,12322
24569995,25980
24573245,8786
24576660,12145
24585883,13291
24586552,16131
24589657,15005
24593046,20548
24596302,8343
24599311,37043
24599492,18387
24604128,10979
24607541,12224
24610710,15278
24613493,16371
24614932,13924
24634223,16899
24634478,16847
24642226,12471
24647662,14551
24649402,20600
24649405,18622
24649856,16258
24657051,18530
24657441,10754
24657668,22647
24657929,51955
24658998,10533
24659780,74896
24664479,9147
24669941,16244
24681750,10720
24685427,10675
24687296,22566
24689692,22270
24690537,9488
24692662,21827
24698088,17836
24698160,18118
24700248,15282
24706212,29306
24706911,13760
24708518,15325
24721563,31343
24723372,10572
24723382,10113
24726623,11807
24727225,9538
24731824,14707
24733394,18952
24737327,46521
24740691,18308
24742629,11014
24747910,14410
24751436,12931
24752075,23661
24752846,11828
24754261,16678
24767541,22877
24768773,13475
24771868,12833
24778250,14771
24788330,14626
24794033,13631
24798142,12816
24801911,11815
24801996,13107
24802551,8111
24810165,74477
24814884,30397
24817128,15744
24817153,21388
24824182,19242
24831290,46277
24832101,381062
24832815,17340
24835098,14321
24835101,14335
24835339,18267
24837359,16396
24843170,14590
24846409,9664
24858677,14659
24859082,10012
24863619,11935
24864035,21421
24866943,19350
24870616,13293
24871074,13695
24874096,12009
24875753,11080
24879127,10660
24880627,14373
24881047,12269
24884441,19666
24894602,52562
24895213,17651
24896608,10792
24905227,11385
24906355,22771
24909447,8196
24910973,20747
24914732,11579
24914980,12804
24919140,14450
2492438,72707
24925096,18687
24925316,10799
24926996,21631
24928437,10484
24936067,13865
24937446,8762
24939578,9051
24940697,6826
24955762,417484
24957267,37030
24957627,20964
24958125,19295
24963813,178769
24967652,15756
24970457,16650
24975018,10967
24980148,10865
24982305,10893
24984815,20409
24992307,23115
25002425,17222
25002579,19306
25006233,14668
25009089,19348
25009246,18232
25012655,20832
25016016,18928
25016610,13590
25020232,18581
25022854,13073
25036129,6675
25037224,20770
25039836,18079
25042732,23970
25043974,16573
25044645,15250
25044660,16368
25052853,18203
25061727,13462
25072253,12105
25082263,20309
25092711,8530
25096165,15077
25097229,20023
25107406,16516
25107648,12604
25111069,25830
25112424,16445
25116410,21744
25131858,11687
25132279,17690
25139711,13333
25145794,14184
25149203,19583
25151941,11405
25153532,16352
25161874,45744
25172159,9122
25181035,16040
25184516,9548
25211225,19497
25212866,14237
25213862,16899
25217016,14019
25217505,28602
25218521,11234
25220808,14087
25224912,8664
25231982,12745
25236800,19474
25237904,16169
25248746,16155
25250909,22446
25253268,8600
25256219,10747
25257933,8657
25258317,34247
25260971,18228
25261288,13360
25265152,17589
25268049,18056
25278939,8335
25279554,14143
25282635,10596
25283443,18503
25283713,133013
25287957,9797
25288796,17144
25294608,16345
25296188,15624
25296650,14741
25303954,13954
25304023,11231
